,PROCESSED_DT_MONTH_YEAR,Total_Charges PAID,Total_Charges UNPAID,Total_Records PAID,Total_Records UNPAID,Total_Revenue_Estimate_Lower PAID,Total_Revenue_Estimate_Lower UNPAID,Total_Revenue_Estimate_Upper PAID,Total_Revenue_Estimate_Upper UNPAID,Total_Savings PAID,Total_Savings UNPAID,PAID_RATE,UNPAID_RATE,All Claims Total,Remaining to be Paid Rate,Remaining to be Paid (Lower Estimate),Remaining to be Paid (Upper Estimate),PCODE, pcode
10,2024-12,38636.6,45249.91,6,27,712.7495999999999,2210.9988,712.7495999999999,2210.9988,5939.58,18424.989999999998,0.18181818181818182,0.8181818181818182,33,0.22666678781417587,501.15999585699745,501.15999585699745,ASF-P,ASF-P
0,2024-01,36183325.68,559837.15,17653,161,895142.6487250001,14490.095775,1258044.2175269546,20364.554439580454,21062179.97,340943.43,0.9909621645896486,0.009037835410351408,17814,0.0,0.0,0.0,ASOL-P,ASOL-P
1,2024-02,38851377.72,550813.92,19317,132,951080.7169250001,11273.67835,1336660.2496631441,15844.162803188547,22378369.81,265263.02,0.9932130186641986,0.006786981335801327,19449,0.0,0.0,0.0,ASOL-P,ASOL-P
2,2024-03,35045298.78,317248.67,18063,68,900044.369225,9577.867150000002,1264933.1543234994,13460.849398094766,21177514.57,225361.58,0.9962495174011362,0.0037504825988638243,18131,0.0,0.0,0.0,ASOL-P,ASOL-P
3,2024-04,30786663.75,264876.09,14713,67,825959.9009250001,8164.638875000001,1160813.9537847629,11474.681425937808,19434350.61,192109.15,0.995466847090663,0.004533152909336942,14780,0.0,0.0,0.0,ASOL-P,ASOL-P
4,2024-05,32295101.17,2393777.35,14673,946,899659.6966250001,63241.32812500001,1264392.5308365498,88880.12125185093,21168463.45,1488031.25,0.9394327421729944,0.06056725782700557,15619,0.0,0.0,0.0,ASOL-P,ASOL-P
5,2024-06,31869023.54,2991434.57,13824,1246,908773.0528000001,80039.64055000001,1277200.5509376505,112488.67106297136,21382895.36,1883285.66,0.9173191771731918,0.08268082282680823,15070,0.0,0.0,0.0,ASOL-P,ASOL-P
6,2024-07,32166967.79,1843796.4,13269,939,908155.8686500001,50966.808775000005,1276333.1529288944,71629.36450019249,21368373.38,1199219.03,0.933910472972973,0.06608952702702703,14208,0.0,0.0,0.0,ASOL-P,ASOL-P
7,2024-08,35278031.18,1993888.99,14305,806,1009793.257375,53479.00375,1419175.5583847729,75160.03345681145,23759841.35,1258329.5,0.946661372510092,0.053338627489908016,15111,0.0,0.0,0.0,ASOL-P,ASOL-P
8,2024-09,31001907.05,1897595.22,12224,728,877118.6894250001,56701.287025000005,1232713.1288936476,79688.66902916585,20638086.81,1334147.93,0.9437924644842496,0.056207535515750466,12952,0.0,0.0,0.0,ASOL-P,ASOL-P
9,2024-10,36405299.98,2413657.27,14894,921,995247.250725,64762.39080000001,1398732.4261307057,91017.84098345508,23417582.37,1523820.96,0.9417641479607967,0.05823585203920329,15815,0.02012560504577532,1303.3822990609533,1831.7891197521992,ASOL-P,ASOL-P
10,2024-11,39064006.26,2352296.89,14826,940,1089822.17475,63955.819,1531649.1589689534,89884.27529930898,25642874.7,1504842.8,0.9403780286692883,0.059621971330711655,15766,0.021511724337283655,1375.7999480932085,1933.5657524952492,ASOL-P,ASOL-P
11,2024-12,34527244.16,2102579.69,13228,915,940607.4117500001,55358.48422500001,1321940.9409221618,77801.47786446693,22131939.1,1302552.57,0.9353036838011737,0.06469631619882628,14143,0.0265860692053983,1471.7644927118001,2068.4354747869816,ASOL-P,ASOL-P
0,2024-01,61808355.32,1008754.37,28524,177,1565590.7597,34031.731775,2246557.4597577928,48834.11607657469,36837429.64,800746.63,0.9938329674924219,0.006167032507578133,28701,0.0,0.0,0.0,ASON-P,ASON-P
1,2024-02,70219861.67999999,957882.7999999999,29623,146,1766298.58135,30596.618700000003,2534564.814914862,43904.87204780209,41559966.62,719920.44,0.9950955692162988,0.004904430783701166,29769,0.0,0.0,0.0,ASON-P,ASON-P
2,2024-03,60598532.54,570137.02,28371,87,1599632.1020000002,16885.11995,2295405.3665370126,24229.443069686014,37638402.4,397296.94,0.996942863166772,0.003057136833227915,28458,0.0,0.0,0.0,ASON-P,ASON-P
3,2024-04,52796847.300000004,210807.63,24494,60,1490957.4944250002,12868.245625,2139461.836070181,18465.39590485252,35081352.81,302782.25,0.9975564062881811,0.002443593711818848,24554,0.0,0.0,0.0,ASON-P,ASON-P
4,2024-05,49958574.47,1547112.89,22862,607,1403320.35795,47229.0821,2013706.1994327689,67771.76350325404,33019302.54,1111272.52,0.9741360944224295,0.02586390557757041,23469,0.0,0.0,0.0,ASON-P,ASON-P
5,2024-06,61205948.81,2606554.33,24118,657,1696762.9037750002,79153.67025000001,2434784.0170227215,113582.2163394862,39923833.03,1862439.3,0.973481331987891,0.02651866801210898,24775,0.0,0.0,0.0,ASON-P,ASON-P
6,2024-07,62441046.9,1924223.4100000001,23524,704,1698394.3274750002,68777.12737500001,2437125.0420067743,98692.30998439582,39962219.47,1618285.35,0.9709427109129932,0.02905728908700677,24228,0.0,0.0,0.0,ASON-P,ASON-P
7,2024-08,65024714.35,1705155.92,24837,534,1792231.93005,65267.046,2571778.0889569554,93655.48957107517,42170163.06,1535695.2,0.9789523471680265,0.021047652831973514,25371,0.0,0.0,0.0,ASON-P,ASON-P
8,2024-09,56853021.4,830396.53,21826,362,1580562.1114500002,52155.54525,2268040.7252588393,74841.03270485252,37189696.74,1227189.3,0.9836848747070489,0.016315125292951146,22188,0.0,0.0,0.0,ASON-P,ASON-P
9,2024-10,69806313.96,1820988.74,26246,508,1902797.0562000002,54087.502175,2730434.4347499907,77613.31033545196,44771695.44,1272647.11,0.9810121850938177,0.018987814906182253,26754,0.003946166613078117,213.43829526777503,306.2750539762313,ASON-P,ASON-P
10,2024-11,65967603.22,1080242.32,25936,576,1786455.1281750002,40940.520300000004,2563488.6191415414,58747.93953431018,42034238.31,963306.36,0.9782739891369946,0.02172601086300543,26512,0.0066843625699012366,273.66128148560176,392.69252808196404,ASON-P,ASON-P
11,2024-12,61763685.13,1393745.32,24430,555,1661652.438275,49580.429875,2384401.9630307136,71145.84951627022,39097704.43,1166598.3499999999,0.9777866720032019,0.02221332799679808,24985,0.007171679703693923,355.57496263495733,510.2352449778972,ASON-P,ASON-P
0,2024-01,11720631.78,3391168.89,5418,1964,0.0,0.0,0.0,0.0,2688932.95,109966.68,0.7339474397182335,0.26605256028176644,7382,0.0,0.0,0.0,ASRM-P,ASRM-P
1,2024-02,7524139.39,3985034.85,5712,1953,0.0,0.0,0.0,0.0,1923351.46,66276.65,0.7452054794520548,0.2547945205479452,7665,0.0,0.0,0.0,ASRM-P,ASRM-P
2,2024-03,7265775.97,4859211.93,5532,1852,0.0,0.0,0.0,0.0,1830129.49,131487.13,0.7491874322860238,0.25081256771397614,7384,0.0,0.0,0.0,ASRM-P,ASRM-P
3,2024-04,9683541.7,5411928.54,6382,2134,0.0,0.0,0.0,0.0,2691547.94,55026.79,0.7494128698919681,0.25058713010803196,8516,0.0,0.0,0.0,ASRM-P,ASRM-P
4,2024-05,10409062.06,6713842.53,6216,2207,0.0,0.0,0.0,0.0,2644519.21,50572.22,0.7379793422770984,0.26202065772290156,8423,0.0,0.0,0.0,ASRM-P,ASRM-P
5,2024-06,10521278.88,7412846.58,6028,2182,0.0,0.0,0.0,0.0,2670266.85,134287.93,0.7342265529841656,0.26577344701583433,8210,0.0,0.0,0.0,ASRM-P,ASRM-P
6,2024-07,10260679.32,4162710.64,5603,1774,0.0,0.0,0.0,0.0,2174218.35,20041.84,0.7595228412633862,0.2404771587366138,7377,0.0,0.0,0.0,ASRM-P,ASRM-P
7,2024-08,7788227.19,3132843.81,5636,1807,0.0,0.0,0.0,0.0,2012915.01,2.1,0.7572215504500873,0.24277844954991268,7443,0.0,0.0,0.0,ASRM-P,ASRM-P
8,2024-09,10373599.98,5410954.86,5605,1942,0.0,0.0,0.0,0.0,2487128.88,576.6800000000001,0.7426792102822314,0.25732078971776867,7547,0.0,0.0,0.0,ASRM-P,ASRM-P
9,2024-10,9790453.28,5269968.17,6250,2081,0.0,0.0,0.0,0.0,2288763.65,0.0,0.7502100588164686,0.2497899411835314,8331,-0.004723090082552117,-0.0,-0.0,ASRM-P,ASRM-P
10,2024-11,7269204.83,4115972.94,5281,1562,0.0,0.0,0.0,0.0,1903401.8,5322.5,0.7717375420137367,0.22826245798626332,6843,-0.026250573279820166,-0.0,-0.0,ASRM-P,ASRM-P
11,2024-12,8798784.54,3135782.1500000004,5201,1587,0.0,0.0,0.0,0.0,1875478.96,0.0,0.766205067766647,0.233794932233353,6788,-0.020718099032730475,-0.0,-0.0,ASRM-P,ASRM-P
0,2024-01,10334636.95,10166372.34,8590,2198,185995.5912,165916.0956,185995.967185654,165916.4309954323,3099926.52,2765268.2600000002,0.796255098257323,0.20374490174267704,10788,0.0,0.0,0.0,AUS-P,AUS-P
1,2024-02,8961571.21,8990718.99,8205,2219,157713.633,135550.6968,157713.95181434968,135550.97081250246,2628560.55,2259178.28,0.7871258633921719,0.21287413660782808,10424,0.0,0.0,0.0,AUS-P,AUS-P
2,2024-03,9047552.65,8989822.25,7996,2000,155750.9694,138886.767,155751.284246872,138887.04775628884,2595849.49,2314779.45,0.7999199679871949,0.2000800320128051,9996,0.0,0.0,0.0,AUS-P,AUS-P
3,2024-04,9052571.62,9047511.06,7872,1999,170996.61419999998,122857.1718,170996.95986557956,122857.42015284424,2849943.57,2047619.53,0.7974875899098369,0.2025124100901631,9871,0.0,0.0,0.0,AUS-P,AUS-P
4,2024-05,8565657.97,9739227.74,7671,1790,162862.365,217532.81579999998,162862.69422238867,217533.2555374018,2714372.75,3625546.93,0.8108022407779305,0.18919775922206955,9461,0.0,0.0,0.0,AUS-P,AUS-P
5,2024-06,6783474.45,5418755.25,5774,1324,123657.41279999999,88957.3146,123657.66277051234,88957.49442509098,2060956.8800000001,1482621.91,0.813468582699352,0.18653141730064807,7098,0.0,0.0,0.0,AUS-P,AUS-P
6,2024-07,6332469.28,5690045.09,5817,1331,121759.3308,84248.28779999999,121759.57693358483,84248.45810590555,2029322.18,1404138.13,0.813794068270845,0.186205931729155,7148,0.0,0.0,0.0,AUS-P,AUS-P
7,2024-08,7858248.92,8870680.86,6616,1489,146466.0222,148884.8574,146466.31827757254,148885.15836719025,2441100.37,2481414.29,0.8162862430598397,0.1837137569401604,8105,0.0,0.0,0.0,AUS-P,AUS-P
8,2024-09,6791197.85,8502728.23,5947,1463,133624.72079999998,116020.1382,133624.99091918787,116020.37273194379,2227078.68,1933668.97,0.8025641025641026,0.19743589743589743,7410,0.0,0.0,0.0,AUS-P,AUS-P
9,2024-10,7455549.01,6768120.31,6440,1612,145856.1432,104549.0256,145856.4380447167,104549.23694336311,2430935.72,1742483.76,0.7998012916045703,0.20019870839542972,8052,0.00438801471971817,458.7626632649917,458.76359064278,AUS-P,AUS-P
10,2024-11,7143430.96,9483441.4,6175,1720,139836.663,155645.4228,139836.94567648094,155645.73743351205,2330611.05,2594090.38,0.7821405953134896,0.21785940468651044,7895,0.02204871101079886,3431.780947470804,3431.787884734186,AUS-P,AUS-P
11,2024-12,6379137.12,7876293.6,5463,1811,119408.0832,146881.0002,119408.32458059385,146881.2971164407,1990134.72,2448016.67,0.7510310695628265,0.2489689304371735,7274,0.05315823676146192,7807.934984391936,7807.950767946388,AUS-P,AUS-P
0,2024-01,150729.36,141575.54,17.0,32.0,1976.2759999999998,1852.397,1976.2759999999998,1852.397,19762.760000000002,18523.97,0.3469387755102041,0.6530612244897959,49.0,0.0,0.0,0.0,AUTIS-P,AUTIS-P
1,2024-02,38430.09,54236.71000000001,5.0,15.0,310.61899999999997,591.4960000000001,310.61899999999997,591.4960000000001,3106.1899999999996,5914.959999999999,0.25,0.75,20.0,0.0,0.0,0.0,AUTIS-P,AUTIS-P
2,2024-03,16252.0,103381.44999999998,3.0,27.0,334.233,1830.6930000000002,334.233,1830.6930000000002,3342.3300000000004,18306.93,0.1,0.9,30.0,0.0,0.0,0.0,AUTIS-P,AUTIS-P
3,2024-04,,324824.98,,66.0,,7731.188,,7731.188,,77311.87999999999,,,,0.0,0.0,0.0,AUTIS-P,AUTIS-P
4,2024-05,11819.93,196355.62,1.0,56.0,58.357000000000006,3673.4370000000004,58.357000000000006,3673.4370000000004,583.57,36734.369999999995,0.017543859649122806,0.9824561403508771,57.0,0.0,0.0,0.0,AUTIS-P,AUTIS-P
5,2024-06,,89805.55,,29.0,,3038.2290000000003,,3038.2290000000003,,30382.29,,,,0.0,0.0,0.0,AUTIS-P,AUTIS-P
6,2024-07,,173593.2,,47.0,,5590.773,,5590.773,,55907.73,,,,0.0,0.0,0.0,AUTIS-P,AUTIS-P
7,2024-08,,247622.97,,39.0,,7904.8460000000005,,7904.8460000000005,,79048.46,,,,0.0,0.0,0.0,AUTIS-P,AUTIS-P
8,2024-09,,274799.57,,43.0,,5161.376,,5161.376,,51613.76,,,,0.0,0.0,0.0,AUTIS-P,AUTIS-P
9,2024-10,,509707.97,,53.0,,14127.696,,14127.696,,141276.96000000002,,,,,,,AUTIS-P,AUTIS-P
10,2024-11,,211902.51,,33.0,,2722.69,,2722.69,,27226.9,,,,,,,AUTIS-P,AUTIS-P
