PCODE,CLIENT_NM,Date,ACCTID,CCODE,CENSUS,Group_ID,CENSUS_EFF_DT,Total_Claims
90DB-P,90 Degree Benefits DBA EBSO,2024-04-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,10
90DB-P,90 Degree Benefits DBA EBSO,2024-04-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,1
90DB-P,90 Degree Benefits DBA EBSO,2024-04-01,1588.0,90DBSS 222021,10.0,1588SS0009,2024-12-31,1
90DB-P,90 Degree Benefits DBA EBSO,2024-05-01,1588.0,90DBPO 121007,4.0,1588PO0006,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2024-05-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,3
90DB-P,90 Degree Benefits DBA EBSO,2024-05-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,2
90DB-P,90 Degree Benefits DBA EBSO,2024-05-01,1588.0,90DBSS 222015,9.0,1588SS0012,2024-11-30,1
90DB-P,90 Degree Benefits DBA EBSO,2024-05-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,2
90DB-P,90 Degree Benefits DBA EBSO,2024-06-01,1588.0,90DBPO 121007,4.0,1588PO0006,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2024-06-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,3
90DB-P,90 Degree Benefits DBA EBSO,2024-06-01,1588.0,90DBSS 215116,1.0,1588SS0024,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-06-01,1588.0,90DBSS 222021,10.0,1588SS0009,2024-12-31,1
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBPO 121007,4.0,1588PO0006,2025-02-28,12
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,39
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,2
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,2
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,1
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,5
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,1
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,1
90DB-P,90 Degree Benefits DBA EBSO,2024-07-01,1588.0,90DBSS 222021,10.0,1588SS0009,2024-12-31,2
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBPO 121007,4.0,1588PO0006,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,158
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,12
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,4
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,5
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,3
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-08-01,1588.0,90DBSS 222015,9.0,1588SS0012,2024-11-30,2
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,232
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,23
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,6
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 216177,18.0,1588SS0046,2024-07-01,1
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,10
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,8
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,7
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,5
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 222015,9.0,1588SS0012,2024-11-30,4
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,1
90DB-P,90 Degree Benefits DBA EBSO,2024-09-01,1588.0,90DBSS 222021,10.0,1588SS0009,2024-12-31,6
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,145
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,22
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO 222015,4.0,1588PO0038,2024-12-31,7
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,9
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO HD3121,6.0,1588PO0020,2025-03-31,3
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,2
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,6
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 216114,49.0,1588SS0028,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,10
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,3
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,2
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 219111,12.0,1588SS0031,2025-01-01,2
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-10-01,1588.0,90DBSS 222015,9.0,1588SS0012,2024-11-30,2
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,267
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBPO 218115A,463.0,1588PO0042,2025-03-31,52
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,28
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBPO 222015,4.0,1588PO0038,2024-12-31,8
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 215116,1.0,1588SS0024,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,9
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,13
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,16
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,14
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 219111,12.0,1588SS0031,2025-01-01,2
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 222015,9.0,1588SS0012,2024-11-30,1
90DB-P,90 Degree Benefits DBA EBSO,2024-11-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,9
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,317
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBPO 218115A,463.0,1588PO0042,2025-03-31,156
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,50
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBPO 222015,4.0,1588PO0038,2024-12-31,7
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,7
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,5
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 215116,1.0,1588SS0024,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,28
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,8
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,11
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 222015,9.0,1588SS0012,2024-11-30,1
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,4
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS 222021,10.0,1588SS0009,2024-12-31,4
90DB-P,90 Degree Benefits DBA EBSO,2024-12-01,1588.0,90DBSS MSF001,46.0,1588SS0045,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,170
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO 218115A,463.0,1588PO0042,2025-03-31,188
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,32
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO 222015,4.0,1588PO0038,2024-12-31,7
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,14
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,1
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,13
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,12
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,7
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,8
90DB-P,90 Degree Benefits DBA EBSO,2025-01-01,1588.0,90DBSS 222021,10.0,1588SS0009,2024-12-31,3
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,213
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO 218115A,463.0,1588PO0042,2025-03-31,212
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,44
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO 222015,4.0,1588PO0038,2024-12-31,3
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,12
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO HD3125,3.0,1588PO0011,2025-03-31,1
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,5
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 216114,49.0,1588SS0028,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,18
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,3
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,3
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 219111,12.0,1588SS0031,2025-01-01,10
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-02-01,1588.0,90DBSS MSF001,46.0,1588SS0045,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,161
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBPO 218115A,463.0,1588PO0042,2025-03-31,149
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBPO 221018,64.0,1588PO0039,2024-07-01,62
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBPO 222015,4.0,1588PO0038,2024-12-31,7
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,18
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,8
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 214103,22.0,1588SS0042,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 215122,61.0,1588SS0034,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 216177,18.0,1588SS0046,2024-07-01,2
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 217103,80.0,1588SS0038,2025-01-01,18
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,13
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 217115,62.0,1588SS0040,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 218101,16.0,1588SS0039,2025-01-01,2
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 219111,12.0,1588SS0031,2025-01-01,18
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,4
90DB-P,90 Degree Benefits DBA EBSO,2025-03-01,1588.0,90DBSS MSF001,46.0,1588SS0045,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-04-01,1588.0,90DBPO 121007,4.0,1588PO0006,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2025-04-01,1588.0,90DBPO 218115,251.0,1588PO0041,2025-01-31,1
90DB-P,90 Degree Benefits DBA EBSO,2025-04-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2025-04-01,1588.0,90DBSS 221006,22.0,1588SS0029,2025-02-28,2
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-01-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,11
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-02-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,12
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-03-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,7
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-04-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,19
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-05-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,43
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-06-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,25
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-07-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,21
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-08-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,19
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-09-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,17
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-10-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,3
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2024-12-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,2
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2025-03-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,156
90DMCA-P,90 Degree Benefits DBA MCA ADMINISTRATORS INC,2025-04-01,1667.0,90DMCALB ALIN,63.0,1667LB0001,2025-02-28,4
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 6123,34.0,1268LB0128,2025-02-28,1
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 6270,36.0,1268LB0064,2025-01-01,8
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 6272,50.0,1268LB0080,2025-01-01,12
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 6434,11.0,1268LB0116,2025-02-28,9
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 6572,33.0,1268LB0118,2025-01-31,16
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7003,10.0,1268LB0014,2025-01-01,7
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7006,6.0,1268LB0017,2025-01-01,1
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7010,6.0,1268LB0022,2025-01-01,4
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7014,21.0,1268LB0024,2025-01-01,15
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7016,32.0,1268LB0028,2025-01-01,3
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7020,11.0,1268LB0030,2025-01-01,1
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7024,22.0,1268LB0035,2025-01-01,5
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7033,27.0,1268LB0044,2025-01-01,3
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7055,39.0,1268LB0049,2025-01-01,23
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7056,34.0,1268LB0050,2025-01-01,15
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7058,37.0,1268LB0051,2025-01-01,3
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7062,27.0,1268LB0054,2025-01-01,2
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7072,25.0,1268LB0065,2025-01-01,3
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7076,16.0,1268LB0070,2025-01-01,4
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7081,80.0,1268LB0074,2025-01-01,43
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7082,20.0,1268LB0075,2025-01-01,14
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7085,37.0,1268LB0078,2025-01-01,11
ABA-P,Assured Benefits Administrators,2024-01-01,1268.0,ABALB 7088,24.0,1268LB0083,2025-01-01,6
